4.5,0.341,149.0,167.0
5.5,0.8180000000000001,81.0,86.0
6.85,0.404,380.0,404.0
5.5,0.364,168.0,174.0
4.5,0.33,155.0,171.0
6.85,1.018,75.0,67.0
5.5,0.7020000000000001,91.0,91.0
5.5,0.845,76.0,77.0
4.5,0.56,101.0,112.0
3.4,0.79,54.0,47.0
6.85,0.777,100.0,85.0
6.85,0.584,125.0,114.0
3.4,0.4,102.0,94.0
6.85,0.79,96.0,84.0
6.85,0.766,97.0,88.0
3.1,0.291,123.0,109.0
5.5,0.47900000000000004,130.0,129.0
3.4,0.753,53.0,52.0
3.4,0.421,95.0,91.0
4.5,0.518,138.0,114.0
6.85,0.915,81.0,71.0
6.85,0.417,177.0,163.0
4.5,0.5700000000000001,123.0,105.0
5.5,0.461,135.0,138.0
5.5,0.762,82.0,86.0
3.4,0.505,79.0,72.0
4.5,0.425,121.0,141.0
3.4,0.882,47.0,45.0
6.85,1.706,49.0,46.0
4.5,0.383,137.0,154.0
4.5,0.64,92.0,94.0
3.1,1.05,60.0,26.0
3.1,0.9430000000000001,40.0,41.0
3.4,0.432,88.0,101.0
5.5,0.845,76.0,79.0
5.5,0.47800000000000004,132.0,133.0
4.5,0.0,266.0,253.0
3.4,0.859,49.0,44.0
6.85,0.47200000000000003,163.0,146.0
5.5,0.434,143.0,145.0
3.4,0.354,107.0,109.0
3.4,0.767,56.0,51.0
6.85,0.8320000000000001,89.0,79.0
5.5,0.441,146.0,144.0
5.5,0.616,113.0,110.0
5.5,0.374,168.0,169.0
6.85,0.887,85.0,73.0
6.85,0.834,93.0,80.0
4.5,0.6900000000000001,87.0,87.0
3.1,0.328,112.0,101.0
5.5,0.777,82.0,85.0
5.5,0.6880000000000001,92.0,93.0
4.5,0.607,95.0,105.0
3.4,0.424,91.0,89.0
6.85,1.8780000000000001,41.0,44.0
5.5,0.649,96.0,97.0
6.85,1.73,46.0,46.0
3.4,0.603,71.0,69.0
4.5,0.331,154.0,172.0
6.85,0.803,95.0,80.0
4.5,0.319,161.0,179.0
6.85,0.796,95.0,84.0
3.1,0.278,128.0,115.0
5.5,0.534,121.0,120.0
6.85,0.803,89.0,82.0
6.85,1.102,65.0,60.0
3.4,0.40700000000000003,97.0,96.0
3.4,0.41500000000000004,94.0,90.0
5.5,0.786,84.0,87.0
3.4,0.421,96.0,92.0
4.5,0.54,104.0,113.0
4.5,0.7010000000000001,87.0,86.0
4.5,0.673,88.0,91.0
3.4,0.778,54.0,49.0
3.4,0.404,97.0,87.0
6.85,0.77,95.0,84.0
5.5,0.794,80.0,85.0
4.5,0.40800000000000003,129.0,146.0
4.5,0.704,84.0,86.0
5.5,0.842,76.0,78.0
3.4,0.427,94.0,90.0
4.5,0.34700000000000003,148.0,163.0
3.4,0.417,97.0,94.0
5.5,0.47500000000000003,133.0,133.0
5.5,0.763,83.0,85.0
5.5,0.8210000000000001,79.0,80.0
3.4,0.585,73.0,71.0
5.5,0.602,106.0,109.0
3.4,0.392,103.0,89.0
5.5,0.672,104.0,96.0
4.5,0.268,188.0,208.0
3.1,0.0,189.0,175.0
4.5,0.6940000000000001,86.0,88.0
3.1,0.965,38.0,38.0
5.5,0.7000000000000001,97.0,95.0
4.5,0.484,131.0,124.0
4.5,0.728,83.0,84.0
4.5,0.632,91.0,101.0
3.4,0.741,57.0,53.0
3.1,0.434,87.0,74.0
5.5,0.716,88.0,91.0
3.4,0.41000000000000003,97.0,99.0
5.5,0.373,164.0,170.0
6.85,0.376,192.0,191.0
5.5,0.389,163.0,163.0
3.4,0.429,94.0,90.0
4.5,0.36,163.0,149.0
6.85,1.872,41.0,41.0
5.5,0.433,146.0,148.0
4.5,0.671,93.0,85.0
3.1,0.766,50.0,49.0
3.4,0.756,54.0,50.0
5.5,0.437,144.0,144.0
5.5,0.377,170.0,167.0
3.4,0.419,96.0,90.0
3.1,0.732,52.0,52.0
3.1,0.263,137.0,121.0
6.85,1.141,69.0,61.0
5.5,0.451,139.0,143.0
5.5,0.725,91.0,91.0
5.5,0.916,70.0,73.0
6.85,0.424,179.0,161.0
5.5,0.751,86.0,85.0
6.85,1.901,39.0,43.0
6.85,0.655,112.0,97.0
5.5,0.41500000000000004,151.0,157.0
